DateHeure;Valeur
2021-05-10 00:00;4.81
2021-05-10 00:15;4.81
2021-05-10 00:30;4.69
2021-05-10 00:45;5.78
2021-05-10 01:00;4.06
2021-05-10 01:15;5.65
2021-05-10 01:30;4.13
2021-05-10 01:45;4.33
2021-05-10 02:00;4.53
2021-05-10 02:15;5.22
2021-05-10 02:30;4.83
2021-05-10 02:45;4.03
2021-05-10 03:00;4.64
2021-05-10 03:15;5.98
2021-05-10 03:30;5.39
2021-05-10 03:45;4.55
2021-05-10 04:00;4.94
2021-05-10 04:15;5.84
2021-05-10 04:30;4.23
2021-05-10 04:45;4.49
2021-05-10 05:00;5.52
2021-05-10 05:15;5.1
2021-05-10 05:30;4.58
2021-05-10 05:45;4.42
2021-05-10 06:00;5.34
2021-05-10 06:15;4.63
2021-05-10 06:30;4.13
2021-05-10 06:45;5.89
2021-05-10 07:00;5.88
2021-05-10 07:15;5.07
2021-05-10 07:30;4.39
2021-05-10 07:45;4.95
2021-05-10 08:00;5.52
2021-05-10 08:15;5.81
2021-05-10 08:30;4.38
2021-05-10 08:45;4.08
2021-05-10 09:00;5.06
2021-05-10 09:15;5.85
2021-05-10 09:30;4.57
2021-05-10 09:45;5.25
2021-05-10 10:00;5.9
2021-05-10 10:15;5.11
2021-05-10 10:30;4.01
2021-05-10 10:45;5.98
2021-05-10 11:00;4.49
2021-05-10 11:15;5.14
2021-05-10 11:30;5.02
2021-05-10 11:45;5.54
2021-05-10 12:00;5.28
2021-05-10 12:15;5.64
2021-05-10 12:30;5.06
2021-05-10 12:45;5.62
2021-05-10 13:00;4.99
2021-05-10 13:15;5.58
2021-05-10 13:30;5.52
2021-05-10 13:45;4.13
2021-05-10 14:00;4.11
2021-05-10 14:15;5.84
2021-05-10 14:30;5.19
2021-05-10 14:45;5.76
2021-05-10 15:00;5.95
2021-05-10 15:15;4.07
2021-05-10 15:30;5.43
2021-05-10 15:45;4.9
2021-05-10 16:00;4.76
2021-05-10 16:15;5.65
2021-05-10 16:30;6.0
2021-05-10 16:45;4.26
2021-05-10 17:00;5.33
2021-05-10 17:15;5.75
2021-05-10 17:30;4.37
2021-05-10 17:45;4.18
2021-05-10 18:00;4.34
2021-05-10 18:15;4.26
2021-05-10 18:30;4.33
2021-05-10 18:45;5.44
2021-05-10 19:00;4.99
2021-05-10 19:15;4.16
2021-05-10 19:30;5.47
2021-05-10 19:45;4.13
2021-05-10 20:00;4.68
2021-05-10 20:15;4.53
2021-05-10 20:30;4.66
2021-05-10 20:45;4.77
2021-05-10 21:00;4.15
2021-05-10 21:15;4.46
2021-05-10 21:30;5.77
2021-05-10 21:45;4.86
2021-05-10 22:00;4.25
2021-05-10 22:15;5.68
2021-05-10 22:30;5.46
2021-05-10 22:45;5.27
2021-05-10 23:00;4.92
2021-05-10 23:15;5.51
2021-05-10 23:30;5.67
2021-05-10 23:45;5.65
