DateHeure;Valeur
2021-07-10 00:00;5.1
2021-07-10 00:15;5.62
2021-07-10 00:30;5.89
2021-07-10 00:45;4.86
2021-07-10 01:00;5.1
2021-07-10 01:15;4.34
2021-07-10 01:30;4.56
2021-07-10 01:45;4.98
2021-07-10 02:00;5.83
2021-07-10 02:15;5.0
2021-07-10 02:30;4.59
2021-07-10 02:45;5.7
2021-07-10 03:00;4.77
2021-07-10 03:15;5.28
2021-07-10 03:30;5.23
2021-07-10 03:45;4.27
2021-07-10 04:00;4.06
2021-07-10 04:15;5.89
2021-07-10 04:30;5.54
2021-07-10 04:45;4.95
2021-07-10 05:00;4.21
2021-07-10 05:15;4.99
2021-07-10 05:30;5.94
2021-07-10 05:45;4.22
2021-07-10 06:00;5.95
2021-07-10 06:15;4.07
2021-07-10 06:30;5.23
2021-07-10 06:45;4.8
2021-07-10 07:00;5.55
2021-07-10 07:15;4.69
2021-07-10 07:30;5.59
2021-07-10 07:45;4.84
2021-07-10 08:00;5.73
2021-07-10 08:15;5.59
2021-07-10 08:30;4.21
2021-07-10 08:45;4.65
2021-07-10 09:00;5.93
2021-07-10 09:15;4.47
2021-07-10 09:30;4.36
2021-07-10 09:45;4.11
2021-07-10 10:00;4.94
2021-07-10 10:15;5.43
2021-07-10 10:30;5.15
2021-07-10 10:45;4.09
2021-07-10 11:00;5.82
2021-07-10 11:15;5.78
2021-07-10 11:30;4.17
2021-07-10 11:45;5.98
2021-07-10 12:00;4.26
2021-07-10 12:15;4.25
2021-07-10 12:30;4.05
2021-07-10 12:45;5.76
2021-07-10 13:00;4.32
2021-07-10 13:15;4.64
2021-07-10 13:30;4.77
2021-07-10 13:45;4.43
2021-07-10 14:00;4.76
2021-07-10 14:15;5.42
2021-07-10 14:30;4.5
2021-07-10 14:45;4.57
2021-07-10 15:00;5.52
2021-07-10 15:15;4.23
2021-07-10 15:30;5.93
2021-07-10 15:45;4.94
2021-07-10 16:00;5.81
2021-07-10 16:15;4.07
2021-07-10 16:30;5.27
2021-07-10 16:45;4.88
2021-07-10 17:00;5.27
2021-07-10 17:15;5.12
2021-07-10 17:30;4.08
2021-07-10 17:45;4.86
2021-07-10 18:00;5.28
2021-07-10 18:15;5.33
2021-07-10 18:30;5.03
2021-07-10 18:45;4.32
2021-07-10 19:00;4.81
2021-07-10 19:15;4.45
2021-07-10 19:30;5.46
2021-07-10 19:45;4.95
2021-07-10 20:00;5.31
2021-07-10 20:15;6.0
2021-07-10 20:30;4.48
2021-07-10 20:45;5.23
2021-07-10 21:00;4.65
2021-07-10 21:15;5.51
2021-07-10 21:30;4.41
2021-07-10 21:45;4.8
2021-07-10 22:00;4.98
2021-07-10 22:15;4.67
2021-07-10 22:30;4.99
2021-07-10 22:45;5.28
2021-07-10 23:00;5.15
2021-07-10 23:15;4.96
2021-07-10 23:30;4.3
2021-07-10 23:45;4.93
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
