DateHeure;Valeur
2021-05-10 00:00;57,12
2021-05-10 00:15;59,34
2021-05-10 00:30;58,45
2021-05-10 00:45;63,56
2021-05-10 01:00;52,23
2021-05-10 01:15;54,91
2021-05-10 01:30;62,28
2021-05-10 01:45;58,20
2021-05-10 02:00;59,45
2021-05-10 02:15;62,22
2021-05-10 02:30;55,12
2021-05-10 02:45;51,12
2021-05-10 03:00;60,59
2021-05-10 03:15;58,60
2021-05-10 03:30;58,20
2021-05-10 03:45;59,45
2021-05-10 04:00;59,34
2021-05-10 04:15;58,45
2021-05-10 04:30;63,56
2021-05-10 04:45;52,23
2021-05-10 05:00;54,91
2021-05-10 05:15;62,28
2021-05-10 05:30;58,20
2021-05-10 05:45;59,45
2021-05-10 06:00;62,22
2021-05-10 06:15;55,12
2021-05-10 06:30;51,12
2021-05-10 06:45;60,59
2021-05-10 07:00;52,23
2021-05-10 07:15;54,91
2021-05-10 07:30;62,28
2021-05-10 07:45;58,45
2021-05-10 08:00;63,56
2021-05-10 08:15;52,23
2021-05-10 08:30;54,91
2021-05-10 08:45;62,28
2021-05-10 09:00;58,20
2021-05-10 09:15;59,45
2021-05-10 09:30;62,22
2021-05-10 09:45;55,12
2021-05-10 10:00;51,12
2021-05-10 10:15;52,23
2021-05-10 10:30;54,91
2021-05-10 10:45;62,28
2021-05-10 11:00;58,20
2021-05-10 11:15;59,45
2021-05-10 11:30;62,22
2021-05-10 11:45;55,12
2021-05-10 12:00;51,12
2021-05-10 12:15;60,59
2021-05-10 12:30;52,23
2021-05-10 12:45;54,91
2021-05-10 13:00;62,28
2021-05-10 13:15;58,45
2021-05-10 13:30;63,56
2021-05-10 13:45;52,23
2021-05-10 14:00;54,91
2021-05-10 14:15;58,20
2021-05-10 14:30;59,45
2021-05-10 14:45;62,22
2021-05-10 15:00;55,12
2021-05-10 15:15;51,12
2021-05-10 15:30;52,23
2021-05-10 15:45;54,91
2021-05-10 16:00;62,28
2021-05-10 16:15;58,20
2021-05-10 16:30;59,45
2021-05-10 16:45;62,22
2021-05-10 17:00;55,12
2021-05-10 17:15;51,12
2021-05-10 17:30;60,59
2021-05-10 17:45;52,23
2021-05-10 18:00;54,91
2021-05-10 18:15;62,28
2021-05-10 18:30;58,45
2021-05-10 18:45;63,56
2021-05-10 19:00;52,23
2021-05-10 19:15;55,12
2021-05-10 19:30;51,12
2021-05-10 19:45;60,59
2021-05-10 20:00;62,28
2021-05-10 20:15;58,45
2021-05-10 20:30;63,56
2021-05-10 20:45;59,45
2021-05-10 21:00;62,22
2021-05-10 21:15;55,12
2021-05-10 21:30;51,12
2021-05-10 21:45;60,59
2021-05-10 22:00;52,23
2021-05-10 22:15;50,12
2021-05-10 22:30;52,26
2021-05-10 22:45;52,22
2021-05-10 23:00;60,36
2021-05-10 23:15;60,33
2021-05-10 23:30;59,15
2021-05-10 23:45;59,16
