DateHeure;Valeur
2021-07-10 00:00;52.56
2021-07-10 00:15;58.49
2021-07-10 00:30;60.34
2021-07-10 00:45;61.11
2021-07-10 01:00;50.0
2021-07-10 01:15;55.06
2021-07-10 01:30;60.23
2021-07-10 01:45;59.47
2021-07-10 02:00;52.56
2021-07-10 02:15;50.5
2021-07-10 02:30;50.5
2021-07-10 02:45;61.05
2021-07-10 03:00;56.95
2021-07-10 03:15;52.08
2021-07-10 03:30;52.47
2021-07-10 03:45;63.32
2021-07-10 04:00;53.51
2021-07-10 04:15;54.48
2021-07-10 04:30;50.23
2021-07-10 04:45;55.75
2021-07-10 05:00;50.66
2021-07-10 05:15;57.73
2021-07-10 05:30;56.99
2021-07-10 05:45;50.45
2021-07-10 06:00;61.19
2021-07-10 06:15;55.73
2021-07-10 06:30;50.48
2021-07-10 06:45;55.38
2021-07-10 07:00;62.24
2021-07-10 07:15;63.4
2021-07-10 07:30;55.76
2021-07-10 07:45;50.93
2021-07-10 08:00;56.96
2021-07-10 08:15;53.07
2021-07-10 08:30;51.89
2021-07-10 08:45;58.72
2021-07-10 09:00;63.4
2021-07-10 09:15;54.41
2021-07-10 09:30;56.06
2021-07-10 09:45;59.49
2021-07-10 10:00;57.44
2021-07-10 10:15;57.94
2021-07-10 10:30;58.84
2021-07-10 10:45;51.41
2021-07-10 11:00;52.22
2021-07-10 11:15;53.36
2021-07-10 11:30;54.21
2021-07-10 11:45;52.85
2021-07-10 12:00;59.62
2021-07-10 12:15;56.32
2021-07-10 12:30;62.2
2021-07-10 12:45;55.6
2021-07-10 13:00;57.92
2021-07-10 13:15;59.08
2021-07-10 13:30;53.84
2021-07-10 13:45;51.1
2021-07-10 14:00;51.44
2021-07-10 14:15;58.64
2021-07-10 14:30;58.89
2021-07-10 14:45;61.54
2021-07-10 15:00;52.69
2021-07-10 15:15;55.48
2021-07-10 15:30;63.23
2021-07-10 15:45;56.92
2021-07-10 16:00;53.41
2021-07-10 16:15;55.91
2021-07-10 16:30;51.46
2021-07-10 16:45;62.86
2021-07-10 17:00;63.69
2021-07-10 17:15;57.58
2021-07-10 17:30;60.88
2021-07-10 17:45;59.59
2021-07-10 18:00;55.58
2021-07-10 18:15;63.23
2021-07-10 18:30;62.87
2021-07-10 18:45;54.83
2021-07-10 19:00;50.68
2021-07-10 19:15;58.4
2021-07-10 19:30;61.84
2021-07-10 19:45;55.02
2021-07-10 20:00;52.56
2021-07-10 20:15;58.94
2021-07-10 20:30;58.39
2021-07-10 20:45;60.79
2021-07-10 21:00;51.69
2021-07-10 21:15;61.47
2021-07-10 21:30;53.2
2021-07-10 21:45;59.73
2021-07-10 22:00;50.09
2021-07-10 22:15;60.34
2021-07-10 22:30;56.5
2021-07-10 22:45;50.23
2021-07-10 23:00;57.09
2021-07-10 23:15;58.75
2021-07-10 23:30;50.43
2021-07-10 23:45;58.33
